date,day,day_suffix,day_of_week,day_of_year,week_of_year,week_of_month,month,month_name,quarter,quarter_name,year
19001115,15,Thu,4,15,46,5,11,November,4,Q4,1900
19001116,16,Fri,5,16,46,6,11,November,4,Q4,1900
19001117,17,Sat,6,17,46,6,11,November,4,Q4,1900
19001118,18,Sun,0,18,46,6,11,November,4,Q4,1900
19001119,19,Mon,1,19,47,7,11,November,4,Q4,1900
19001120,20,Tue,2,20,47,7,11,November,4,Q4,1900
19001121,21,Wed,3,21,47,7,11,November,4,Q4,1900
19001122,22,Thu,4,22,47,8,11,November,4,Q4,1900
19001123,23,Fri,5,23,47,8,11,November,4,Q4,1900
19001124,24,Sat,6,24,47,8,11,November,4,Q4,1900
19001125,25,Sun,0,25,47,9,11,November,4,Q4,1900
19001126,26,Mon,1,26,48,9,11,November,4,Q4,1900
19001127,27,Tue,2,27,48,9,11,November,4,Q4,1900
19001128,28,Wed,3,28,48,10,11,November,4,Q4,1900
19001129,29,Thu,4,29,48,10,11,November,4,Q4,1900
19001130,30,Fri,5,30,48,10,11,November,4,Q4,1900
19001201,01,Sat,6,1,48,1,12,December,4,Q4,1900
19001202,02,Sun,0,2,48,1,12,December,4,Q4,1900
19001203,03,Mon,1,3,49,1,12,December,4,Q4,1900
19001204,04,Tue,2,4,49,2,12,December,4,Q4,1900
19001205,05,Wed,3,5,49,2,12,December,4,Q4,1900
19001206,06,Thu,4,6,49,2,12,December,4,Q4,1900
19001207,07,Fri,5,7,49,3,12,December,4,Q4,1900
19001208,08,Sat,6,8,49,3,12,December,4,Q4,1900
19001209,09,Sun,0,9,49,3,12,December,4,Q4,1900
19001210,10,Mon,1,10,50,4,12,December,4,Q4,1900
19001211,11,Tue,2,11,50,4,12,December,4,Q4,1900
19001212,12,Wed,3,12,50,4,12,December,4,Q4,1900
19001213,13,Thu,4,13,50,5,12,December,4,Q4,1900
19001214,14,Fri,5,14,50,5,12,December,4,Q4,1900
19001215,15,Sat,6,15,50,5,12,December,4,Q4,1900
